字頻序位,字,字頻,累積字頻,前100名高頻字累積百分比,"總字數累積
百分比"
1,的,"71,014 ","71,014 ",9.15%,3.59%
2,是,"26,493 ","97,507 ",12.56%,4.92%
3,一,"25,109 ","122,616 ",15.79%,6.19%
4,不,"21,665 ","144,281 ",18.58%,7.29%
5,有,"19,307 ","163,588 ",21.07%,8.26%
6,在,"17,545 ","181,133 ",23.33%,9.15%
7,人,"16,188 ","197,321 ",25.41%,9.96%
8,我,"14,875 ","212,196 ",27.33%,10.72%
9,了,"13,348 ","225,544 ",29.05%,11.39%
10,這,"12,448 ","237,992 ",30.65%,12.02%
11,大,"11,657 ","249,649 ",32.15%,12.61%
12,為,"11,489 ","261,138 ",33.63%,13.19%
13,會,"11,019 ","272,157 ",35.05%,13.74%
14,到,"10,827 ","282,984 ",36.44%,14.29%
15,以,"10,737 ","293,721 ",37.83%,14.83%
16,來,"10,699 ","304,420 ",39.20%,15.37%
17,上,"10,263 ","314,683 ",40.53%,15.89%
18,他,"10,220 ","324,903 ",41.84%,16.41%
19,就,"9,931 ","334,834 ",43.12%,16.91%
20,要,"9,803 ","344,637 ",44.38%,17.40%
21,中,"9,563 ","354,200 ",45.62%,17.89%
22,個,"9,464 ","363,664 ",46.83%,18.36%
23,時,"8,748 ","372,412 ",47.96%,18.81%
24,也,"8,589 ","381,001 ",49.07%,19.24%
25,國,"8,558 ","389,559 ",50.17%,19.67%
26,可,"8,540 ","398,099 ",51.27%,20.10%
27,年,"8,000 ","406,099 ",52.30%,20.51%
28,出,"7,827 ","413,926 ",53.31%,20.90%
29,能,"7,487 ","421,413 ",54.27%,21.28%
30,生,"7,418 ","428,831 ",55.23%,21.66%
31,後,"6,998 ","435,829 ",56.13%,22.01%
32,過,"6,878 ","442,707 ",57.01%,22.36%
33,對,"6,768 ","449,475 ",57.88%,22.70%
34,成,"6,691 ","456,166 ",58.75%,23.04%
35,們,"6,557 ","462,723 ",59.59%,23.37%
36,都,"6,465 ","469,188 ",60.42%,23.69%
37,多,"6,447 ","475,635 ",61.25%,24.02%
38,家,"6,406 ","482,041 ",62.08%,24.34%
39,說,"6,371 ","488,412 ",62.90%,24.66%
40,用,"6,180 ","494,592 ",63.70%,24.98%
41,好,"6,102 ","500,694 ",64.48%,25.28%
42,下,"6,071 ","506,765 ",65.26%,25.59%
43,之,"6,027 ","512,792 ",66.04%,25.90%
44,自,"5,771 ","518,563 ",66.78%,26.19%
45,小,"5,705 ","524,268 ",67.52%,26.48%
46,而,"5,702 ","529,970 ",68.25%,26.76%
47,和,"5,545 ","535,515 ",68.97%,27.04%
48,法,"5,533 ","541,048 ",69.68%,27.32%
49,得,"5,503 ","546,551 ",70.39%,27.60%
50,學,"5,438 ","551,989 ",71.09%,27.88%
51,地,"5,407 ","557,396 ",71.78%,28.15%
52,與,"5,285 ","562,681 ",72.46%,28.42%
53,因,"5,281 ","567,962 ",73.14%,28.68%
54,天,"5,270 ","573,232 ",73.82%,28.95%
55,現,"5,232 ","578,464 ",74.50%,29.21%
56,還,"5,168 ","583,632 ",75.16%,29.47%
57,於,"5,161 ","588,793 ",75.83%,29.73%
58,發,"5,158 ","593,951 ",76.49%,29.99%
59,很,"5,131 ","599,082 ",77.15%,30.25%
60,台,"5,122 ","604,204 ",77.81%,30.51%
61,但,"5,073 ","609,277 ",78.46%,30.77%
62,子,"5,069 ","614,346 ",79.12%,31.02%
63,所,"5,016 ","619,362 ",79.76%,31.28%
64,分,"5,003 ","624,365 ",80.41%,31.53%
65,前,"4,887 ","629,252 ",81.04%,31.78%
66,開,"4,844 ","634,096 ",81.66%,32.02%
67,行,"4,771 ","638,867 ",82.28%,32.26%
68,最,"4,740 ","643,607 ",82.89%,32.50%
69,沒,"4,703 ","648,310 ",83.49%,32.74%
70,經,"4,697 ","653,007 ",84.10%,32.98%
71,動,"4,622 ","657,629 ",84.69%,33.21%
72,當,"4,617 ","662,246 ",85.29%,33.44%
73,民,"4,587 ","666,833 ",85.88%,33.67%
74,然,"4,575 ","671,408 ",86.47%,33.91%
75,方,"4,553 ","675,961 ",87.05%,34.14%
76,事,"4,538 ","680,499 ",87.64%,34.36%
77,看,"4,537 ","685,036 ",88.22%,34.59%
78,如,"4,516 ","689,552 ",88.80%,34.82%
79,面,"4,301 ","693,853 ",89.36%,35.04%
80,心,"4,295 ","698,148 ",89.91%,35.26%
81,高,"4,281 ","702,429 ",90.46%,35.47%
82,公,"4,235 ","706,664 ",91.01%,35.69%
83,作,"4,171 ","710,835 ",91.54%,35.90%
84,著,"4,084 ","714,919 ",92.07%,36.10%
85,間,"4,064 ","718,983 ",92.59%,36.31%
86,你,"3,996 ","722,979 ",93.11%,36.51%
87,定,"3,956 ","726,935 ",93.62%,36.71%
88,力,"3,952 ","730,887 ",94.13%,36.91%
89,進,"3,927 ","734,814 ",94.63%,37.11%
90,同,"3,892 ","738,706 ",95.13%,37.30%
91,外,"3,885 ","742,591 ",95.63%,37.50%
92,長,"3,855 ","746,446 ",96.13%,37.70%
93,點,"3,820 ","750,266 ",96.62%,37.89%
94,其,"3,813 ","754,079 ",97.11%,38.08%
95,美,"3,802 ","757,881 ",97.60%,38.27%
96,麼,"3,792 ","761,673 ",98.09%,38.46%
97,去,"3,784 ","765,457 ",98.58%,38.66%
98,想,"3,691 ","769,148 ",99.05%,38.84%
99,起,"3,682 ","772,830 ",99.53%,39.03%
100,讓,"3,668 ","776,498 ",100.00%,39.21%
101,本,"3,646 ","780,144 ",,39.40%
102,實,"3,630 ","783,774 ",,39.58%
103,新,"3,614 ","787,388 ",,39.76%
104,果,"3,584 ","790,972 ",,39.94%
105,主,"3,569 ","794,541 ",,40.12%
106,道,"3,534 ","798,075 ",,40.30%
107,十,"3,516 ","801,591 ",,40.48%
108,重,"3,515 ","805,106 ",,40.66%
109,體,"3,478 ","808,584 ",,40.83%
110,日,"3,452 ","812,036 ",,41.01%
111,部,"3,443 ","815,479 ",,41.18%
112,選,"3,414 ","818,893 ",,41.35%
113,理,"3,389 ","822,282 ",,41.52%
114,意,"3,372 ","825,654 ",,41.70%
115,那,"3,370 ","829,024 ",,41.87%
116,全,"3,361 ","832,385 ",,42.04%
117,只,"3,358 ","835,743 ",,42.20%
118,等,"3,347 ","839,090 ",,42.37%
119,者,"3,288 ","842,378 ",,42.54%
120,樣,"3,271 ","845,649 ",,42.70%
121,表,"3,257 ","848,906 ",,42.87%
122,三,"3,240 ","852,146 ",,43.03%
123,加,"3,237 ","855,383 ",,43.20%
124,手,"3,226 ","858,609 ",,43.36%
125,或,"3,215 ","861,824 ",,43.52%
126,政,"3,174 ","864,998 ",,43.68%
127,工,"3,173 ","868,171 ",,43.84%
128,度,"3,135 ","871,306 ",,44.00%
129,性,"3,123 ","874,429 ",,44.16%
130,機,"3,099 ","877,528 ",,44.31%
131,種,"3,093 ","880,621 ",,44.47%
132,文,"3,089 ","883,710 ",,44.63%
133,從,"3,067 ","886,777 ",,44.78%
134,兩,"3,029 ","889,806 ",,44.93%
135,將,"3,025 ","892,831 ",,45.09%
136,此,"3,019 ","895,850 ",,45.24%
137,場,"3,018 ","898,868 ",,45.39%
138,電,"3,011 ","901,879 ",,45.54%
139,常,"2,993 ","904,872 ",,45.70%
140,無,"2,993 ","907,865 ",,45.85%
141,二,"2,988 ","910,853 ",,46.00%
142,情,"2,941 ","913,794 ",,46.15%
143,及,"2,934 ","916,728 ",,46.29%
144,業,"2,931 ","919,659 ",,46.44%
145,水,"2,872 ","922,531 ",,46.59%
146,關,"2,864 ","925,395 ",,46.73%
147,比,"2,839 ","928,234 ",,46.88%
148,更,"2,838 ","931,072 ",,47.02%
149,些,"2,833 ","933,905 ",,47.16%
150,內,"2,817 ","936,722 ",,47.30%
151,次,"2,816 ","939,538 ",,47.45%
152,感,"2,806 ","942,344 ",,47.59%
153,明,"2,777 ","945,121 ",,47.73%
154,市,"2,769 ","947,890 ",,47.87%
155,問,"2,735 ","950,625 ",,48.01%
156,月,"2,725 ","953,350 ",,48.14%
157,合,"2,701 ","956,051 ",,48.28%
158,物,"2,680 ","958,731 ",,48.42%
159,裡,"2,676 ","961,407 ",,48.55%
160,平,"2,665 ","964,072 ",,48.69%
161,應,"2,653 ","966,725 ",,48.82%
162,化,"2,647 ","969,372 ",,48.95%
163,相,"2,615 ","971,987 ",,49.08%
164,受,"2,580 ","974,567 ",,49.22%
165,第,"2,562 ","977,129 ",,49.34%
166,元,"2,549 ","979,678 ",,49.47%
167,做,"2,542 ","982,220 ",,49.60%
168,由,"2,531 ","984,751 ",,49.73%
169,位,"2,525 ","987,276 ",,49.86%
170,已,"2,524 ","989,800 ",,49.98%
171,入,"2,514 ","992,314 ",,50.11%
172,她,"2,506 ","994,820 ",,50.24%
173,立,"2,494 ","997,314 ",,50.36%
174,式,"2,442 ","999,756 ",,50.49%
175,期,"2,426 ","1,002,182 ",,50.61%
176,品,"2,426 ","1,004,608 ",,50.73%
177,身,"2,422 ","1,007,030 ",,50.85%
178,並,"2,421 ","1,009,451 ",,50.98%
179,己,"2,421 ","1,011,872 ",,51.10%
180,灣,"2,420 ","1,014,292 ",,51.22%
181,接,"2,414 ","1,016,706 ",,51.34%
182,球,"2,405 ","1,019,111 ",,51.46%
183,回,"2,403 ","1,021,514 ",,51.59%
184,利,"2,402 ","1,023,916 ",,51.71%
185,產,"2,393 ","1,026,309 ",,51.83%
186,原,"2,385 ","1,028,694 ",,51.95%
187,被,"2,378 ","1,031,072 ",,52.07%
188,再,"2,376 ","1,033,448 ",,52.19%
189,知,"2,367 ","1,035,815 ",,52.31%
190,正,"2,358 ","1,038,173 ",,52.43%
191,提,"2,327 ","1,040,500 ",,52.54%
192,才,"2,324 ","1,042,824 ",,52.66%
193,特,"2,310 ","1,045,134 ",,52.78%
194,總,"2,307 ","1,047,441 ",,52.90%
195,名,"2,297 ","1,049,738 ",,53.01%
196,教,"2,288 ","1,052,026 ",,53.13%
197,員,"2,281 ","1,054,307 ",,53.24%
198,題,"2,261 ","1,056,568 ",,53.36%
199,氣,"2,258 ","1,058,826 ",,53.47%
200,金,"2,249 ","1,061,075 ",,53.58%
201,頭,"2,234 ","1,063,309 ",,53.70%
202,真,"2,231 ","1,065,540 ",,53.81%
203,使,"2,190 ","1,067,730 ",,53.92%
204,色,"2,188 ","1,069,918 ",,54.03%
205,代,"2,185 ","1,072,103 ",,54.14%
206,統,"2,182 ","1,074,285 ",,54.25%
207,把,"2,181 ","1,076,466 ",,54.36%
208,活,"2,157 ","1,078,623 ",,54.47%
209,數,"2,144 ","1,080,767 ",,54.58%
