"多音詞
序號",詞彙,詞頻,詞頻累積次數,前100名高頻詞累積百分比,"總詞數累積
百分比"
1,我們,"3,155 ","3,155 ",3.29%,0.48%
2,可以,"2,874 ","6,029 ",6.29%,0.92%
3,沒有,"2,610 ","8,639 ",9.01%,1.32%
4,因為,"2,429 ","11,068 ",11.55%,1.69%
5,自己,"2,350 ","13,418 ",14.00%,2.04%
6,他們,"2,037 ","15,455 ",16.13%,2.35%
7,台灣,"1,872 ","17,327 ",18.08%,2.64%
8,如果,"1,587 ","18,914 ",19.74%,2.88%
9,問題,"1,576 ","20,490 ",21.38%,3.12%
10,可能,"1,457 ","21,947 ",22.90%,3.34%
11,什麼,"1,393 ","23,340 ",24.36%,3.56%
12,所以,"1,391 ","24,731 ",25.81%,3.77%
13,不過,"1,267 ","25,998 ",27.13%,3.96%
14,開始,"1,252 ","27,250 ",28.44%,4.15%
15,知道,"1,237 ","28,487 ",29.73%,4.34%
16,這樣,"1,230 ","29,717 ",31.01%,4.53%
17,時間,"1,212 ","30,929 ",32.27%,4.71%
18,已經,"1,179 ","32,108 ",33.50%,4.89%
19,這些,"1,140 ","33,248 ",34.69%,5.07%
20,中國,"1,101 ","34,349 ",35.84%,5.23%
21,但是,"1,095 ","35,444 ",36.99%,5.40%
22,現在,"1,060 ","36,504 ",38.09%,5.56%
23,美國,"1,054 ","37,558 ",39.19%,5.72%
24,第一,"1,027 ","38,585 ",40.26%,5.88%
25,因此,"1,025 ","39,610 ",41.33%,6.04%
26,表示,"1,000 ","40,610 ",42.38%,6.19%
27,使用,993 ,"41,603 ",43.41%,6.34%
28,認為,992 ,"42,595 ",44.45%,6.49%
29,發現,966 ,"43,561 ",45.46%,6.64%
30,總統,958 ,"44,519 ",46.46%,6.78%
31,還是,953 ,"45,472 ",47.45%,6.93%
32,不會,949 ,"46,421 ",48.44%,7.07%
33,工作,939 ,"47,360 ",49.42%,7.22%
34,真的,933 ,"48,293 ",50.39%,7.36%
35,最後,918 ,"49,211 ",51.35%,7.50%
36,大家,915 ,"50,126 ",52.31%,7.64%
37,政府,908 ,"51,034 ",53.25%,7.78%
38,覺得,892 ,"51,926 ",54.18%,7.91%
39,公司,888 ,"52,814 ",55.11%,8.05%
40,生活,870 ,"53,684 ",56.02%,8.18%
41,一樣,866 ,"54,550 ",56.92%,8.31%
42,不同,859 ,"55,409 ",57.82%,8.44%
43,雖然,859 ,"56,268 ",58.72%,8.57%
44,其他,853 ,"57,121 ",59.61%,8.70%
45,國家,852 ,"57,973 ",60.50%,8.83%
46,很多,847 ,"58,820 ",61.38%,8.96%
47,看到,837 ,"59,657 ",62.25%,9.09%
48,之後,820 ,"60,477 ",63.11%,9.21%
49,希望,820 ,"61,297 ",63.96%,9.34%
50,比較,815 ,"62,112 ",64.81%,9.46%
51,學生,813 ,"62,925 ",65.66%,9.59%
52,非常,800 ,"63,725 ",66.50%,9.71%
53,方式,799 ,"64,524 ",67.33%,9.83%
54,孩子,791 ,"65,315 ",68.16%,9.95%
55,其實,788 ,"66,103 ",68.98%,10.07%
56,經濟,788 ,"66,891 ",69.80%,10.19%
57,需要,777 ,"67,668 ",70.61%,10.31%
58,無法,777 ,"68,445 ",71.42%,10.43%
59,而且,772 ,"69,217 ",72.23%,10.55%
60,許多,766 ,"69,983 ",73.03%,10.66%
61,時候,754 ,"70,737 ",73.81%,10.78%
62,今天,752 ,"71,489 ",74.60%,10.89%
