序號,詞彙,詞頻,累積詞頻,前100名高頻詞累積百分比,"總詞數累積
百分比"
1,的,"67,421 ","67,421 ",16.44%,5.93%
2,是,"21,506 ","88,927 ",21.69%,7.82%
3,在,"13,373 ","102,300 ",24.95%,9.00%
4,一,"12,874 ","115,174 ",28.09%,10.13%
5,有,"11,159 ","126,333 ",30.81%,11.11%
6,個,"10,322 ","136,655 ",33.33%,12.02%
7,我,"10,211 ","146,866 ",35.82%,12.92%
8,就,"9,676 ","156,542 ",38.18%,13.77%
9,了,"9,577 ","166,119 ",40.51%,14.61%
10,這,"9,351 ","175,470 ",42.79%,15.43%
11,不,"9,023 ","184,493 ",45.00%,16.22%
12,也,"7,962 ","192,455 ",46.94%,16.92%
13,都,"6,074 ","198,529 ",48.42%,17.46%
14,會,"5,918 ","204,447 ",49.86%,17.98%
15,他,"5,617 ","210,064 ",51.23%,18.47%
16,人,"5,402 ","215,466 ",52.55%,18.95%
17,與,"5,112 ","220,578 ",53.80%,19.40%
18,要,"4,922 ","225,500 ",55.00%,19.83%
19,你,"4,831 ","230,331 ",56.17%,20.26%
20,上,"4,468 ","234,799 ",57.26%,20.65%
21,說,"4,306 ","239,105 ",58.31%,21.03%
22,和,"4,158 ","243,263 ",59.33%,21.39%
23,我們,"4,073 ","247,336 ",60.32%,21.75%
24,很,"4,071 ","251,407 ",61.31%,22.11%
25,讓,"3,576 ","254,983 ",62.19%,22.42%
26,但,"3,510 ","258,493 ",63.04%,22.73%
27,來,"3,439 ","261,932 ",63.88%,23.03%
28,還,"3,438 ","265,370 ",64.72%,23.34%
29,可以,"3,365 ","268,735 ",65.54%,23.63%
30,中,"3,329 ","272,064 ",66.35%,23.93%
31,對,"3,262 ","275,326 ",67.15%,24.21%
32,能,"3,060 ","278,386 ",67.89%,24.48%
33,那,"3,050 ","281,436 ",68.64%,24.75%
34,年,"3,000 ","284,436 ",69.37%,25.01%
35,為,"2,946 ","287,382 ",70.09%,25.27%
36,到,"2,881 ","290,263 ",70.79%,25.53%
37,最,"2,791 ","293,054 ",71.47%,25.77%
38,而,"2,765 ","295,819 ",72.15%,26.01%
39,自己,"2,733 ","298,552 ",72.81%,26.25%
40,種,"2,673 ","301,225 ",73.46%,26.49%
41,大,"2,662 ","303,887 ",74.11%,26.72%
42,以,"2,633 ","306,520 ",74.76%,26.96%
43,因為,"2,615 ","309,135 ",75.39%,27.19%
44,著,"2,583 ","311,718 ",76.02%,27.41%
45,沒有,"2,499 ","314,217 ",76.63%,27.63%
46,時,"2,497 ","316,714 ",77.24%,27.85%
47,將,"2,396 ","319,110 ",77.83%,28.06%
48,好,"2,345 ","321,455 ",78.40%,28.27%
49,被,"2,307 ","323,762 ",78.96%,28.47%
50,她,"2,303 ","326,065 ",79.52%,28.67%
51,後,"2,233 ","328,298 ",80.07%,28.87%
52,更,"2,220 ","330,518 ",80.61%,29.07%
53,或,"2,179 ","332,697 ",81.14%,29.26%
54,他們,"2,067 ","334,764 ",81.64%,29.44%
55,從,"2,060 ","336,824 ",82.15%,29.62%
