"多音詞
序號",詞彙,詞頻,詞頻累積次數,前100名高頻詞累積百分比,"總詞數累積
百分比"
1,我們,"3,403 ","3,403 ",3.44%,0.51%
2,可以,"2,981 ","6,384 ",6.46%,0.96%
3,沒有,"2,676 ","9,060 ",9.17%,1.37%
4,自己,"2,627 ","11,687 ",11.83%,1.76%
5,因為,"2,395 ","14,082 ",14.25%,2.13%
6,他們,"2,393 ","16,475 ",16.67%,2.49%
7,台灣,"2,258 ","18,733 ",18.96%,2.83%
8,如果,"1,641 ","20,374 ",20.62%,3.08%
9,什麼,"1,522 ","21,896 ",22.16%,3.31%
10,可能,"1,435 ","23,331 ",23.61%,3.52%
11,問題,"1,413 ","24,744 ",25.04%,3.74%
12,開始,"1,398 ","26,142 ",26.46%,3.95%
13,知道,"1,367 ","27,509 ",27.84%,4.15%
14,這樣,"1,365 ","28,874 ",29.22%,4.36%
15,所以,"1,360 ","30,234 ",30.60%,4.57%
16,現在,"1,343 ","31,577 ",31.96%,4.77%
17,已經,"1,252 ","32,829 ",33.22%,4.96%
18,時間,"1,222 ","34,051 ",34.46%,5.14%
19,第一,"1,220 ","35,271 ",35.69%,5.33%
20,這些,"1,173 ","36,444 ",36.88%,5.50%
21,不過,"1,102 ","37,546 ",38.00%,5.67%
22,大家,"1,073 ","38,619 ",39.08%,5.83%
23,但是,"1,046 ","39,665 ",40.14%,5.99%
24,政府,"1,045 ","40,710 ",41.20%,6.15%
25,發現,"1,031 ","41,741 ",42.24%,6.30%
26,美國,"1,012 ","42,753 ",43.27%,6.46%
27,之後,988 ,"43,741 ",44.27%,6.61%
28,還是,986 ,"44,727 ",45.26%,6.75%
29,真的,972 ,"45,699 ",46.25%,6.90%
30,工作,950 ,"46,649 ",47.21%,7.04%
31,覺得,937 ,"47,586 ",48.16%,7.19%
32,應該,936 ,"48,522 ",49.10%,7.33%
33,日本,933 ,"49,455 ",50.05%,7.47%
34,不會,925 ,"50,380 ",50.98%,7.61%
35,表示,923 ,"51,303 ",51.92%,7.75%
36,國家,920 ,"52,223 ",52.85%,7.89%
37,因此,914 ,"53,137 ",53.77%,8.02%
38,時候,904 ,"54,041 ",54.69%,8.16%
39,一樣,901 ,"54,942 ",55.60%,8.30%
40,公司,893 ,"55,835 ",56.51%,8.43%
41,認為,887 ,"56,722 ",57.40%,8.57%
42,希望,876 ,"57,598 ",58.29%,8.70%
43,學生,874 ,"58,472 ",59.17%,8.83%
44,而且,862 ,"59,334 ",60.05%,8.96%
45,其實,856 ,"60,190 ",60.91%,9.09%
46,雖然,852 ,"61,042 ",61.77%,9.22%
47,看到,844 ,"61,886 ",62.63%,9.35%
48,生活,840 ,"62,726 ",63.48%,9.47%
49,必須,836 ,"63,562 ",64.32%,9.60%
50,社會,833 ,"64,395 ",65.17%,9.72%
51,最後,824 ,"65,219 ",66.00%,9.85%
52,其他,814 ,"66,033 ",66.83%,9.97%
53,世界,807 ,"66,840 ",67.64%,10.09%
