字頻序位,字,字頻,累積字頻,前100名高頻字累積百分比,"總字數累積
百分比"
1,的,"61,805 ","61,805 ",9.21%,3.60%
2,是,"24,437 ","86,242 ",12.86%,5.02%
3,一,"22,291 ","108,533 ",16.18%,6.32%
4,不,"17,837 ","126,370 ",18.84%,7.36%
5,有,"16,644 ","143,014 ",21.32%,8.33%
6,在,"14,501 ","157,515 ",23.48%,9.17%
7,人,"13,902 ","171,417 ",25.56%,9.98%
8,我,"12,461 ","183,878 ",27.41%,10.70%
9,這,"11,039 ","194,917 ",29.06%,11.35%
10,了,"10,122 ","205,039 ",30.57%,11.94%
11,以,"10,112 ","215,151 ",32.08%,12.53%
12,大,"9,785 ","224,936 ",33.53%,13.10%
13,個,"9,716 ","234,652 ",34.98%,13.66%
14,會,"9,634 ","244,286 ",36.42%,14.22%
15,為,"9,568 ","253,854 ",37.85%,14.78%
16,來,"9,376 ","263,230 ",39.24%,15.32%
17,就,"9,272 ","272,502 ",40.63%,15.86%
18,到,"8,999 ","281,501 ",41.97%,16.39%
19,他,"8,645 ","290,146 ",43.26%,16.89%
20,要,"8,276 ","298,422 ",44.49%,17.37%
21,時,"8,100 ","306,522 ",45.70%,17.85%
22,上,"8,084 ","314,606 ",46.90%,18.32%
23,中,"7,742 ","322,348 ",48.06%,18.77%
24,年,"7,667 ","330,015 ",49.20%,19.21%
25,國,"7,635 ","337,650 ",50.34%,19.66%
26,也,"7,545 ","345,195 ",51.46%,20.10%
27,可,"7,384 ","352,579 ",52.56%,20.53%
28,出,"6,878 ","359,457 ",53.59%,20.93%
29,能,"6,363 ","365,820 ",54.54%,21.30%
30,們,"6,331 ","372,151 ",55.48%,21.67%
31,成,"6,175 ","378,326 ",56.40%,22.03%
32,生,"6,081 ","384,407 ",57.31%,22.38%
33,多,"5,964 ","390,371 ",58.20%,22.73%
34,後,"5,905 ","396,276 ",59.08%,23.07%
35,自,"5,879 ","402,155 ",59.95%,23.41%
36,對,"5,817 ","407,972 ",60.82%,23.75%
37,都,"5,791 ","413,763 ",61.68%,24.09%
38,家,"5,534 ","419,297 ",62.51%,24.41%
39,過,"5,442 ","424,739 ",63.32%,24.73%
40,下,"5,225 ","429,964 ",64.10%,25.03%
41,好,"5,168 ","435,132 ",64.87%,25.33%
42,說,"5,020 ","440,152 ",65.62%,25.62%
43,與,"5,001 ","445,153 ",66.36%,25.92%
44,得,"4,962 ","450,115 ",67.10%,26.20%
45,地,"4,911 ","455,026 ",67.84%,26.49%
46,台,"4,905 ","459,931 ",68.57%,26.78%
47,你,"4,826 ","464,757 ",69.29%,27.06%
48,子,"4,799 ","469,556 ",70.00%,27.34%
49,用,"4,729 ","474,285 ",70.71%,27.61%
50,學,"4,672 ","478,957 ",71.40%,27.88%
51,現,"4,572 ","483,529 ",72.09%,28.15%
52,發,"4,545 ","488,074 ",72.76%,28.41%
53,和,"4,476 ","492,550 ",73.43%,28.68%
54,因,"4,473 ","497,023 ",74.10%,28.94%
55,而,"4,465 ","501,488 ",74.76%,29.20%
56,動,"4,457 ","505,945 ",75.43%,29.45%
57,天,"4,384 ","510,329 ",76.08%,29.71%
58,之,"4,340 ","514,669 ",76.73%,29.96%
59,還,"4,318 ","518,987 ",77.37%,30.21%
60,所,"4,301 ","523,288 ",78.01%,30.46%
61,分,"4,292 ","527,580 ",78.65%,30.71%
62,最,"4,212 ","531,792 ",79.28%,30.96%
63,但,"4,165 ","535,957 ",79.90%,31.20%
64,很,"4,160 ","540,117 ",80.52%,31.44%
65,當,"4,125 ","544,242 ",81.14%,31.68%
66,小,"4,057 ","548,299 ",81.74%,31.92%
67,於,"4,012 ","552,311 ",82.34%,32.15%
